date,      time,           trace
09.09.2018,22:51:06.995673,bot waked up
09.09.2018,22:52:32.548409,bot waked up
09.09.2018,22:52:53.319892,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:52:53.319892,bot restart attempt
09.09.2018,22:52:55.199770,bot waked up
09.09.2018,22:56:31.275946,bot waked up
09.09.2018,22:56:41.948794,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:56:41.948794,bot restart attempt
09.09.2018,22:56:43.812084,bot waked up
09.09.2018,23:05:34.823806,bot waked up
09.09.2018,23:05:45.678291,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:05:45.678291,bot restart attempt
09.09.2018,23:05:47.537668,bot waked up
09.09.2018,23:06:08.445874,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:06:08.445874,bot restart attempt
09.09.2018,23:06:10.327703,bot waked up
09.09.2018,23:06:28.662665,bot waked up
09.09.2018,23:06:44.009344,bot was interrupted by error:('42000', '[42000] [Microsoft][SQL Server Native Client 11.0]Ошибка синтаксиса, отсутствие разрешения или другая неспецифическая ошибка (0) (SQLPrepare)') in main
09.09.2018,23:06:44.009344,bot restart attempt
09.09.2018,23:06:45.879464,bot waked up
09.09.2018,23:06:59.212476,bot was interrupted by error:('42000', '[42000] [Microsoft][SQL Server Native Client 11.0]Ошибка синтаксиса, отсутствие разрешения или другая неспецифическая ошибка (0) (SQLPrepare)') in main
09.09.2018,23:06:59.213450,bot restart attempt
09.09.2018,23:07:01.143136,bot waked up
09.09.2018,23:08:13.914617,bot waked up
09.09.2018,23:08:23.641182,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:08:23.641182,bot restart attempt
09.09.2018,23:08:25.499580,bot waked up
09.09.2018,23:11:13.466381,bot waked up
09.09.2018,23:11:24.260330,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:11:24.261300,bot restart attempt
09.09.2018,23:11:26.102123,bot waked up
09.09.2018,23:12:28.921455,bot waked up
09.09.2018,23:12:34.294509,bot was interrupted by error:('28000', '[28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]При входе в систему пользователя "WIN-V4AGVP6GDAV\\kkoshaev" произошла ошибка. (18456) (SQLDriverConnect); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Не удается открыть базу данных "analysis", запрашиваемую именем входа. Не удалось выполнить вход. (4060); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]При входе в систему пользователя "WIN-V4AGVP6GDAV\\kkoshaev" произошла ошибка. (18456); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Не удается открыть базу данных "analysis", запрашиваемую именем входа. Не удалось выполнить вход. (4060)') in main
09.09.2018,23:12:34.294509,bot restart attempt
09.09.2018,23:12:36.101141,bot waked up
09.09.2018,23:15:45.517159,bot waked up
09.09.2018,23:16:01.910816,bot was interrupted by error:('28000', '[28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]При входе в систему пользователя "WIN-V4AGVP6GDAV\\kkoshaev" произошла ошибка. (18456) (SQLDriverConnect); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Не удается открыть базу данных "stock_managment", запрашиваемую именем входа. Не удалось выполнить вход. (4060); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]При входе в систему пользователя "WIN-V4AGVP6GDAV\\kkoshaev" произошла ошибка. (18456); [28000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Не удается открыть базу данных "stock_managment", запрашиваемую именем входа. Не удалось выполнить вход. (4060)') in main
09.09.2018,23:16:01.910816,bot restart attempt
09.09.2018,23:16:03.765205,bot waked up
09.09.2018,23:16:42.934150,bot waked up
09.09.2018,23:16:57.601138,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:16:57.602126,bot restart attempt
09.09.2018,23:16:59.434152,bot waked up
09.09.2018,23:32:19.676340,bot waked up
09.09.2018,23:32:37.280833,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,23:32:37.280833,bot restart attempt
09.09.2018,23:32:39.176339,bot waked up
09.09.2018,23:32:59.983956,bot waked up
09.09.2018,23:33:21.166579,bot returned response
09.09.2018,23:33:39.112140,bot waked up
09.09.2018,23:33:56.471360,bot returned response
09.09.2018,23:34:37.114814,bot waked up
09.09.2018,23:34:57.212474,bot returned response
09.09.2018,23:38:12.737863,bot was interrupted by error:('22012', '[22012] [Microsoft][SQL Server Native Client 11.0][SQL Server]Обнаружена ошибка: деление на ноль. (8134) (SQLExecDirectW)') in main
09.09.2018,23:38:12.738842,bot restart attempt
09.09.2018,23:38:14.706609,bot waked up
10.09.2018,00:05:41.822826,bot waked up
10.09.2018,00:05:58.996657,bot was interrupted by error:unsupported operand type(s) for +: 'float' and 'str' in main
10.09.2018,00:05:58.997672,bot restart attempt
10.09.2018,00:06:00.840399,bot waked up
10.09.2018,00:06:30.730055,bot was interrupted by error:unsupported operand type(s) for +: 'float' and 'str' in main
10.09.2018,00:06:30.730055,bot restart attempt
10.09.2018,00:06:32.728100,bot waked up
10.09.2018,00:06:45.753486,bot was interrupted by error:utf_8_encode() argument 1 must be str, not float in main
10.09.2018,00:06:45.753486,bot restart attempt
10.09.2018,00:06:47.671459,bot waked up
10.09.2018,00:07:13.201729,bot waked up
10.09.2018,00:07:30.381415,bot returned response
10.09.2018,00:08:49.881423,bot waked up
10.09.2018,00:09:06.655832,bot returned response
10.09.2018,00:10:37.045483,bot waked up
10.09.2018,00:11:01.945864,bot returned response
10.09.2018,00:11:23.962471,bot returned response
10.09.2018,00:16:31.751531,bot waked up
10.09.2018,00:16:48.924440,bot returned response
10.09.2018,00:31:14.427310,bot waked up
10.09.2018,00:31:34.567957,bot returned response
